,RunId,iteration,Step,width,height,initial_population,initial_population_bt,vento,Lagarta Saudavel,Lagarta Infectada,Bacteria
433,433,14,30,50,50,100,100,1,0,0,0
434,434,14,30,50,50,100,100,2,1,0,0
435,435,14,30,50,50,100,100,3,0,0,0
436,436,14,30,50,50,100,100,4,0,0,0
437,437,14,30,50,50,100,100,5,1,0,0
438,438,14,30,50,50,100,150,0,0,0,0
439,439,14,30,50,50,100,150,1,0,0,0
440,440,14,30,50,50,100,150,2,2,0,0
441,441,14,30,50,50,100,150,3,0,0,0
442,442,14,30,50,50,100,150,4,0,0,0
443,443,14,30,50,50,100,150,5,0,0,0
444,444,14,30,50,50,100,200,0,1,0,0
445,445,14,30,50,50,100,200,1,0,0,0
446,446,14,30,50,50,100,200,2,0,0,0
447,447,14,30,50,50,100,200,3,0,0,0
448,448,14,30,50,50,100,200,4,0,0,0
449,449,14,30,50,50,100,200,5,0,0,0
450,450,15,30,50,50,100,0,0,100,0,0
451,451,15,30,50,50,100,0,1,100,0,0
452,452,15,30,50,50,100,0,2,100,0,0
453,453,15,30,50,50,100,0,3,100,0,0
454,454,15,30,50,50,100,0,4,100,0,0
455,455,15,30,50,50,100,0,5,100,0,0
456,456,15,30,50,50,100,50,0,0,0,0
457,457,15,30,50,50,100,50,1,0,0,0
458,458,15,30,50,50,100,50,2,0,0,0
459,459,15,30,50,50,100,50,3,0,0,0
460,460,15,30,50,50,100,50,4,0,0,0
461,461,15,30,50,50,100,50,5,1,0,0
462,462,15,30,50,50,100,100,0,0,0,0
463,463,15,30,50,50,100,100,1,1,0,0
464,464,15,30,50,50,100,100,2,1,0,0
465,465,15,30,50,50,100,100,3,0,0,0
466,466,15,30,50,50,100,100,4,0,0,0
467,467,15,30,50,50,100,100,5,1,0,0
468,468,15,30,50,50,100,150,0,1,0,0
469,469,15,30,50,50,100,150,1,0,0,0
470,470,15,30,50,50,100,150,2,0,0,0
471,471,15,30,50,50,100,150,3,0,0,0
472,472,15,30,50,50,100,150,4,0,0,0
473,473,15,30,50,50,100,150,5,0,0,0
474,474,15,30,50,50,100,200,0,0,0,0
475,475,15,30,50,50,100,200,1,0,0,0
476,476,15,30,50,50,100,200,2,0,0,0
477,477,15,30,50,50,100,200,3,0,0,0
478,478,15,30,50,50,100,200,4,0,0,0
479,479,15,30,50,50,100,200,5,2,0,0
480,480,16,30,50,50,100,0,0,100,0,0
481,481,16,30,50,50,100,0,1,100,0,0
482,482,16,30,50,50,100,0,2,100,0,0
483,483,16,30,50,50,100,0,3,100,0,0
484,484,16,30,50,50,100,0,4,100,0,0
485,485,16,30,50,50,100,0,5,100,0,0
486,486,16,30,50,50,100,50,0,4,0,0
487,487,16,30,50,50,100,50,1,0,0,4
488,488,16,30,50,50,100,50,2,0,0,0
489,489,16,30,50,50,100,50,3,1,0,1
490,490,16,30,50,50,100,50,4,0,0,0
491,491,16,30,50,50,100,50,5,0,0,0
492,492,16,30,50,50,100,100,0,0,0,0
493,493,16,30,50,50,100,100,1,0,0,0
494,494,16,30,50,50,100,100,2,0,0,0
495,495,16,30,50,50,100,100,3,0,0,0
496,496,16,30,50,50,100,100,4,0,0,0
497,497,16,30,50,50,100,100,5,0,0,0
498,498,16,30,50,50,100,150,0,0,0,0
499,499,16,30,50,50,100,150,1,0,0,0
500,500,16,30,50,50,100,150,2,1,0,0
501,501,16,30,50,50,100,150,3,0,0,0
502,502,16,30,50,50,100,150,4,0,0,0
503,503,16,30,50,50,100,150,5,1,0,0
504,504,16,30,50,50,100,200,0,0,0,0
505,505,16,30,50,50,100,200,1,0,0,0
506,506,16,30,50,50,100,200,2,0,0,0
507,507,16,30,50,50,100,200,3,0,0,0
508,508,16,30,50,50,100,200,4,0,0,0
509,509,16,30,50,50,100,200,5,0,0,0
510,510,17,30,50,50,100,0,0,100,0,0
511,511,17,30,50,50,100,0,1,100,0,0
512,512,17,30,50,50,100,0,2,100,0,0
513,513,17,30,50,50,100,0,3,100,0,0
514,514,17,30,50,50,100,0,4,100,0,0
515,515,17,30,50,50,100,0,5,100,0,0
516,516,17,30,50,50,100,50,0,1,0,0
517,517,17,30,50,50,100,50,1,1,0,0
518,518,17,30,50,50,100,50,2,1,0,0
519,519,17,30,50,50,100,50,3,0,0,0
520,520,17,30,50,50,100,50,4,2,0,0
521,521,17,30,50,50,100,50,5,0,0,0
522,522,17,30,50,50,100,100,0,0,0,0
523,523,17,30,50,50,100,100,1,0,0,0
524,524,17,30,50,50,100,100,2,1,0,0
525,525,17,30,50,50,100,100,3,0,0,0
526,526,17,30,50,50,100,100,4,0,0,0
527,527,17,30,50,50,100,100,5,0,0,0
528,528,17,30,50,50,100,150,0,0,0,0
529,529,17,30,50,50,100,150,1,0,0,0
530,530,17,30,50,50,100,150,2,0,0,0
531,531,17,30,50,50,100,150,3,0,0,0
532,532,17,30,50,50,100,150,4,0,0,0
533,533,17,30,50,50,100,150,5,0,0,0
534,534,17,30,50,50,100,200,0,0,0,0
535,535,17,30,50,50,100,200,1,0,0,0
536,536,17,30,50,50,100,200,2,0,0,0
537,537,17,30,50,50,100,200,3,0,0,0
538,538,17,30,50,50,100,200,4,0,0,0
539,539,17,30,50,50,100,200,5,0,0,0
540,540,18,30,50,50,100,0,0,100,0,0
541,541,18,30,50,50,100,0,1,100,0,0
542,542,18,30,50,50,100,0,2,100,0,0
543,543,18,30,50,50,100,0,3,100,0,0
544,544,18,30,50,50,100,0,4,100,0,0
545,545,18,30,50,50,100,0,5,100,0,0
546,546,18,30,50,50,100,50,0,0,0,0
547,547,18,30,50,50,100,50,1,0,0,0
548,548,18,30,50,50,100,50,2,0,0,0
549,549,18,30,50,50,100,50,3,0,0,0
550,550,18,30,50,50,100,50,4,0,0,0
551,551,18,30,50,50,100,50,5,1,0,0
552,552,18,30,50,50,100,100,0,0,0,0
553,553,18,30,50,50,100,100,1,0,0,0
554,554,18,30,50,50,100,100,2,0,0,0
555,555,18,30,50,50,100,100,3,0,0,0
556,556,18,30,50,50,100,100,4,0,0,0
557,557,18,30,50,50,100,100,5,0,0,0
558,558,18,30,50,50,100,150,0,0,0,0
559,559,18,30,50,50,100,150,1,0,0,0
560,560,18,30,50,50,100,150,2,0,0,0
561,561,18,30,50,50,100,150,3,0,0,0
562,562,18,30,50,50,100,150,4,0,0,0
563,563,18,30,50,50,100,150,5,0,0,0
564,564,18,30,50,50,100,200,0,1,0,0
565,565,18,30,50,50,100,200,1,0,0,0
566,566,18,30,50,50,100,200,2,0,0,0
567,567,18,30,50,50,100,200,3,0,0,0
568,568,18,30,50,50,100,200,4,0,0,0
569,569,18,30,50,50,100,200,5,0,0,0
570,570,19,30,50,50,100,0,0,100,0,0
571,571,19,30,50,50,100,0,1,100,0,0
572,572,19,30,50,50,100,0,2,100,0,0
